game_name,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in Kazanı (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404
Unpacking,31.,84,7.8,/game/pc/unpacking/critic-reviews,,,,,,,,,,,,,,86,,80,,,,,,,,,,,,,,,85,80,,90,,,,,,,,,,,,,,,70,,,,80,55,,,85,,90,,,,,,,,,,100,,,,,,,95,,80,,90,,,,,,,,,,,,,,,,,,,,,,,,,,85,80,,85,,,75,,,,,,,100,,,,,,,,,80,,,80,,,,80,,,,80,,,,,,,,,,,,,85,,,,,90,,,,,
Final Fantasy IV Pixel Remaster,32.,83,6.1,/game/pc/final-fantasy-iv-pixel-remaster/critic-reviews,,,,,,,,,,,,,90,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,90,,90,,,,,,,,,,,,,80,,,,,,,,,,78,,,,,,,,,,,,,,,,,,92,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Expect You To Die 2: The Spy And The Liar,33.,83,tbd,/game/pc/i-expect-you-to-die-2-the-spy-and-the-liar/critic-reviews,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,90,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,85,,90,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,80,,,
Crash Bandicoot 4: It's About Time,34.,83,5.4,/game/pc/crash-bandicoot-4-its-about-time/critic-reviews,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,90,,,,79,,80,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,
Little Nightmares II,35.,83,8.2,/game/pc/little-nightmares-ii/critic-reviews,,80,,,,88,,84,,,,85,,,,,,,,,,,85,,,,,,,,,70,,,,,,,,80,,,,,75,87,,70,,100,,,90,,,70,78,85,,,,,,,90,,,,,80,91,,,,,,,80,,,,,,,,,,90,,,,,70,90,,90,,,,,,86,85,,85,,,78,90,76,80,80,,,,,91,,,,,,,90,,,,,,,,,,,,,100,,,,,,90,,,,,,,,,,,90,,,,,86,,,
Kena: Bridge of Spirits,36.,83,8.0,/game/pc/kena-bridge-of-spirits/critic-reviews,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,87,,,,,,,,,87,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,95,,,75,,85,,,71,,65,90,80,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trials of Fire,37.,83,6.9,/game/pc/trials-of-fire/critic-reviews,,,,,,,,,,,,,,,,,,80,,,,,,,80,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,90,,90,,80,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,80,,,,80,90,,,,,,,,,,,80,,,,,,,
The Riftbreaker,38.,83,8.5,/game/pc/the-riftbreaker/critic-reviews,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,85,,,,,90,,,,,,,,,,,,,,,,,90,,,,,,,,,,87,,,,,,,,,,,,,,,,,72,,,,,,,
Shadow Tactics: Blades of the Shogun - Aiko's Choice,39.,83,8.4,/game/pc/shadow-tactics-blades-of-the-shogun---aikos-choice/critic-reviews,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,70,,,,,,,90,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,75,,60,,,,80,,,,,,,,,,,,,,,,95,,,80,,,85,,,,,80,,,,,,,,,,,,,,,,,75,,95,,,,,
Sunlight,40.,83,4.7,/game/pc/sunlight/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,90,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,
